obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
250,133130,0,1,0,1,0.6931471805599453,13,0,2.5,0,0,1,0,0
251,133131,0,1,0,1,0.6931471805599453,36,0,0.0,0,0,1,0,0
252,133132,1,1,0,2,1.0986122886681098,45,0,0.0,0,0,0,0,0
253,133133,5,13,1,19,2.995732273553991,14,0,3.22,0,0,1,0,1
254,133134,0,1,0,1,0.6931471805599453,37,0,-0.4399999999999999,0,0,1,0,0
255,133135,0,4,0,4,1.6094379124341003,40,0,0.0,0,0,1,0,0
256,133136,0,0,0,0,0.0,47,0,0.7000000000000002,0,0,1,0,0
257,133137,1,1,0,2,1.0986122886681098,26,0,0.0,0,0,1,0,0
258,133138,0,0,0,0,0.0,42,0,0.7000000000000002,0,0,1,0,0
259,133139,0,1,0,1,0.6931471805599453,26,0,0.0,0,0,1,0,0
260,133140,0,0,0,0,0.0,41,0,0.0,0,0,2,0,0
261,133141,0,0,0,0,0.0,32,0,0.7000000000000002,0,0,1,0,0
262,133142,1,0,0,1,0.6931471805599453,12,0,0.0,0,0,0,0,0
263,133143,0,0,0,0,0.0,26,0,1.6,0,0,1,0,0
264,133144,0,1,0,1,0.6931471805599453,31,0,0.0,0,0,1,0,0
265,133145,0,1,0,1,0.6931471805599453,44,0,0.0,0,0,0,0,0
266,133146,0,0,0,0,0.0,38,0,1.066666666666667,0,0,1,0,0
267,133147,0,2,0,2,1.0986122886681098,43,0,0.7000000000000002,0,0,1,0,0
268,133148,0,1,0,1,0.6931471805599453,50,0,0.0,0,0,0,0,0
269,133149,0,0,0,0,0.0,46,0,-3.3519,0,0,0,0,0
270,133150,0,0,0,0,0.0,17,0,0.0,0,0,0,0,0
271,133151,0,1,0,1,0.6931471805599453,10,0,0.0,0,0,0,0,0
272,133152,0,1,0,1,0.6931471805599453,8,0,0.0,0,0,0,0,0
273,133153,0,1,0,1,0.6931471805599453,12,0,0.0,0,0,0,0,0
274,133154,0,1,0,1,0.6931471805599453,12,0,0.0,0,0,1,0,0
275,133155,0,1,0,1,0.6931471805599453,12,0,0.0,0,0,0,0,0
276,133156,0,2,0,2,1.0986122886681098,8,0,0.0,0,0,0,0,0
277,133157,0,0,0,0,0.0,29,0,0.0,0,0,0,0,0
278,133158,0,1,0,1,0.6931471805599453,14,0,0.0,0,0,1,0,0
279,133159,0,0,0,0,0.0,30,0,0.5357000000000003,0,0,0,0,0
280,133160,0,1,0,1,0.6931471805599453,34,0,0.0,0,0,0,0,0
281,133161,0,1,0,1,0.6931471805599453,35,0,-3.26,0,0,2,0,0
282,133162,0,0,0,0,0.0,52,0,0.0,0,0,0,0,0
283,133163,0,3,0,3,1.3862943611198906,23,0,0.0,0,0,1,0,0
284,133164,0,1,0,1,0.6931471805599453,41,0,0.0,0,0,0,0,0
285,133165,0,0,0,0,0.0,3,0,0.0,0,0,0,0,0
286,133166,0,1,0,1,0.6931471805599453,4,0,0.0,0,0,1,0,0
287,133167,0,1,0,1,0.6931471805599453,7,0,0.0,0,0,0,0,0
288,133168,0,0,0,0,0.0,29,0,0.0,0,0,1,0,0
289,133169,1,0,0,1,0.6931471805599453,32,0,0.0,0,0,0,0,0
290,133170,0,1,0,1,0.6931471805599453,44,0,0.7000000000000002,0,0,1,0,0
291,133171,0,2,0,2,1.0986122886681098,34,0,-3.3125,0,0,2,0,0
292,133172,0,0,0,0,0.0,38,0,1.6,0,0,2,0,0
293,133173,0,0,0,0,0.0,43,0,-1.5714,0,0,1,0,0
294,133174,1,1,0,2,1.0986122886681098,38,0,0.0,0,0,0,0,0
295,133175,1,2,0,3,1.3862943611198906,24,0,0.0,0,0,1,0,0
296,133176,1,1,0,2,1.0986122886681098,23,0,0.0,0,0,0,0,0
297,133177,0,1,0,1,0.6931471805599453,36,0,0.0,0,0,0,0,0
298,133178,0,0,0,0,0.0,37,0,0.0,0,0,1,0,0
299,133179,0,0,0,0,0.0,25,0,0.7000000000000002,0,0,2,0,0
300,133180,0,1,1,2,1.0986122886681098,34,0,0.7000000000000002,0,1,1,0,1
301,133181,0,0,0,0,0.0,44,0,0.7000000000000002,0,0,1,0,0
302,133182,0,1,0,1,0.6931471805599453,40,0,-1.7143,0,0,0,0,0
303,133183,3,0,0,3,1.3862943611198906,18,0,0.0,0,0,1,0,0
304,133184,2,0,0,2,1.0986122886681098,18,0,0.0,0,0,1,0,0
305,133185,1,2,0,3,1.3862943611198906,10,0,0.0,0,0,1,0,0
306,133186,0,0,0,0,0.0,6,0,0.0,0,0,1,0,0
